/home/pawel/tematy/75-komputerowesystemysterowania/map.png
33 1 0
0 285 606 0 0 647 441 0 0 277 415 0 3 527 567 0 4 508 516 0 5 238 499 0 6 381 319 0 7 439 119 0 8 415 88 0 9 841 301 0 10 795 581 0 11 144 483 0 12 120 365 0 13 58 259 0 14 211 130 0 15 205 594 0 16 263 302 0 18 602 205 0 19 825 196 0 20 440 332 0 20 445 250 0 21 367 668 0 22 476 645 0 23 461 730 0 24 553 757 0 25 735 766 0 26 661 559 0 27 842 475 0 28 218 651 0 29 164 638 0 30 337 394 0 31 493 144 0 32 616 638 0 
        0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   26   27   28   29   30   31   32
   0    0    0    0    0  243  119    0    0    0    0    0    0    0    0    0   90    0    0    0    0    0  100    0    0    0    0    0    0   91    0    0    0    0
   1    0    0    0  141  131    0    0    0    0  195  173    0    0    0    0    0    0  214    0  207    0    0    0    0    0    0  110  167    0    0    0    0    0
   2    0    0    0    0  219   90    0    0    0    0    0  144  164    0    0    0  104    0    0    0    0    0    0    0    0    0    0    0    0    0   60    0    0
   3    0  141    0    0   50    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   77    0    0    0  133    0    0    0    0    0    0
   4  243  131  219   50    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  169    0    0    0    0    0    0    0    0    0    0    0    0    0
   5  119    0   90    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
   6    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   88    0    0   46   70    0    0    0    0    0    0    0    0    0   93    0    0
   7    0    0    0    0    0    0    0    0   40    0    0    0    0    0    0    0    0    0    0    0  112    0    0    0    0    0    0    0    0    0    0   57    0
   8    0    0    0    0    0    0    0   40    0    0    0    0    0    0  169    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
   9    0  195    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   87    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  10    0  173    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  112    0    0    0    0    0    0
  11    0    0  144    0    0    0    0    0    0    0    0    0  106    0    0  129    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  12    0    0  164    0    0    0    0    0    0    0    0  106    0  100    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  13    0    0    0    0    0    0    0    0    0    0    0    0  100    0  173    0  188    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  14    0    0    0    0    0    0    0    0  169    0    0    0    0  173    0    0  139    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  15   90    0    0    0    0    0    0    0    0    0    0  129    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   83    0    0    0
  16    0    0  104    0    0    0   88    0    0    0    0    0    0  188  139    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  17    0  214    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  196    0  143    0    0    0    0    0    0    0    0    0    0  112    0
  18    0    0    0    0    0    0    0    0    0   87    0    0    0    0    0    0    0  196    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  19    0  207    0    0  169    0   46    0    0    0    0    0    0    0    0    0    0    0    0    0   71    0    0    0    0    0    0    0    0    0    0    0    0
  20    0    0    0    0    0    0   70  112    0    0    0    0    0    0    0    0    0  143    0   71    0    0    0    0    0    0    0    0    0    0    0    0    0
  21  100    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  110    0    0    0    0    0    0    0    0    0
  22    0    0    0   77    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0
  23    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  110    1    0   73    0    0    0    0    0    0    0    0
  24    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   73    0  167    0    0    0    0    0    0  123
  25    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  167    0  190    0    0    0    0    0    0
  26    0  110    0  133    0    0    0    0    0    0  112    0    0    0    0    0    0    0    0    0    0    0    0    0    0  190    0    0    0    0    0    0   75
  27    0  167    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  28   91    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   60    0    0    0
  29    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   83    0    0    0    0    0    0    0    0    0    0    0    0   60    0    0    0    0
  30    0    0   60    0    0    0   93    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  31    0    0    0    0    0    0    0   57    0    0    0    0    0    0    0    0    0  112    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
  32    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  123    0   75    0    0    0    0    0    0
