/home/pawel/tematy/75-komputerowesystemysterowania/map.png
17 1 0
0 335 120 0 0 263 254 0 0 377 317 0 3 453 182 0 0 131 351 0 0 40 526 0 0 224 399 0 8 123 572 0 0 511 559 0 0 304 446 0 12 193 380 0 12 515 382 0 12 582 414 0 13 643 265 0 14 900 407 0 15 719 684 0 16 52 303 0 
        0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16
   0    0   12   30    1    0    0    0    0    0    0    0    0    0    0    0    0    0
   1   12    0   23    0    0    0    0    0    0    0    1    0    0    0    0    0    0
   2   30   23    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0
   3    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
   4    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    1
   5    0    0    0    0    1    0    0    1    0    0    1    0    0    0    0    0    0
   6    0    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0
   7    0    0    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0
   8    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    1    0
   9    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0
  10    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
  11    0    0    1    0    0    0    0    0    0    0    0    0    1    0    0    0    0
  12    0    0    0    0    0    0    0    0    1    0    0    1    0    1    0    0    0
  13    0    0    0    0    0    0    0    0    0    0    0    0    1    0    1    0    0
  14    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0
  15    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0
  16    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
